ID,diametro,altura,massa,resistencia,Recozidos
335,17.38,32.8,8.2,1225,NÃO
297,14.71,20.43,3.8,958,NÃO
318,15.85,21.84,4.7,1129,NÃO
311,15.16,28.32,5.5,988,NÃO
315,15.86,21.82,4.7,1113,NÃO
317,15.87,29.56,6.3,1108,NÃO
290,14.06,26.26,4.5,896,NÃO
284,13.41,25.07,3.8,818,NÃO
338,17.33,32.8,8.25,1298,NÃO
341,17.26,32.8,8.2,1261,NÃO
299,14.74,27.58,5.1,953,NÃO
287,13.36,25.03,3.8,806,NÃO
278,13.12,24.41,3.5,780,NÃO
283,13.41,22.39,3.4,814,NÃO
282,13.38,18.43,2.8,817,NÃO
296,14.37,26.86,4.6,891,NÃO
344,18.05,34.05,9.03,1278,NÃO
270,12.50,17.15,2.20,753,NÃO
329,16.05,30.20,6.60,1032,NÃO
326,16.10,30.20,6.50,1079,NÃO
314,15.35,28.95,5.80,1001,NÃO
340,17.38,23.20,7.30,1210,NÃO
271,12.40,20.80,2.7,714,NÃO
285,13.30,18.40,2.8,814,NÃO
303,14.86,20.48,3.7,984,NÃO
307,14.77,24.71,4.6,971,NÃO
274,13.15,21.87,3.2,787,NÃO
281,13.07,24.41,3.6,787,NÃO
323,15.79,29.56,6.5,1085,NÃO
320,15.84,26.47,6.2,1082,NÃO
319,16.09,22.17,5.7,1107,NÃO
324,14.73,24.76,4.8,1133,NÃO
304,16.11,30.19,4.6,967,NÃO
333,17.43,23.91,6,1287,NÃO
272,12.33,23.17,3,655,NÃO
322,16.22,26.87,5.9,1105,NÃO
273,13.04,18.13,2.5,762,NÃO
327,16.14,22.17,4.8,1104,NÃO
331,16.81,28.15,6.7,1167,NÃO
339,17.35,23.92,6,1254,NÃO
342,18.14,25.07,6.9,1340,NÃO
343,18.1,30.37,8.2,1289,NÃO
286,13.49,22.33,3.4,775,NÃO
306,14.74,20.5,3.7,909,NÃO
332,16.63,31.45,7.5,1250,NÃO
310,15.41,25.62,4.9,1012,NÃO
293,14.14,26.28,4.4,855,NÃO
295,14.42,24.13,4.2,893,NÃO
276,13.14,18.09,2.6,777,NÃO
277,13.09,27.84,2.1,784,NÃO
294,14.36,19.87,3.4,920,NÃO
302,14.77,27.63,5.1,954,NÃO
308,14.84,27.66,5.2,999,NÃO
280,13.03,21.82,3.2,759,NÃO
291,13.9,19.53,3.3,849,NÃO
292,14.14,23.6,4,844,NÃO
301,14.72,24.69,4.6,866,NÃO
316,15.73,26.47,5.7,1076,NÃO
325,16.11,26.89,5.9,1063,NÃO
336,17.42,23.93,6.1,1227,NÃO
337,17.31,29.14,7.4,1186,NÃO
312,14.98,21.24,4.3,1060,NÃO
309,14.53,20.69,4.1,1000,NÃO
330,16.52,23.16,5.5,1204,NÃO
313,14.88,25.84,5.2,1004,NÃO
328,15.69,26.92,5.9,1059,NÃO
305,14.01,27.64,5.1,895,NÃO
334,17.18,29.22,7.3,1227,NÃO
321,15.71,22.15,4.8,1106,NÃO
400,12.4,17.77,2.5,912,SIM
401,12.42,20.26,2.7,815,SIM
402,12.49,21.53,2.8,867,SIM
403,12.35,22.83,3,807,SIM
404,12.85,18.53,2.7,896,SIM
405,13.1,21.24,3.1,902,SIM
406,13.09,22.54,3.3,877,SIM
407,12.94,23.98,3.5,903,SIM
408,12.4,19.21,2.9,1021,SIM
409,12.46,21.97,3.3,924,SIM
410,12.43,23.33,3.5,918,SIM
411,12.42,24.62,3.7,848,SIM
416,14.68,21.34,3.9,1073,SIM
417,14.74,24.21,4.5,1087,SIM
418,14.77,25.59,4.7,1059,SIM
419,14.77,27.31,5,1101,SIM
420,15.25,22.13,4.4,1170,SIM
421,15.23,25.16,5,1145,SIM
422,15.36,26.77,5.5,1192,SIM
423,15.41,28.22,5.7,1199,SIM
424,15.93,22.71,4.9,1295,SIM
425,15.86,26.03,5.6,1256,SIM
426,15.81,27.82,5.8,1242,SIM
427,15.85,29.35,6.3,1273,SIM
428,16.30,23.30,5.3,1365,SIM
429,16.30,27.70,6.1,1339,SIM
430,16.30,28.70,6.4,1300,SIM
431,16.30,30.20,6.8,1329,SIM
275,13.0,24.7,0.0,FALHA,NÃO
279,13.0,18.2,0.0,FALHA,NÃO
288,14.0,19.6,0.0,FALHA,NÃO
289,14.0,23.8,0.0,FALHA,NÃO
298,14.7,25,0.0,FALHA,NÃO
412,14.2,19.9,0.0,FALHA,SIM
413,14.2,22.7,0.0,FALHA,SIM
414,14.2,24.1,0.0,FALHA,SIM
415,14.2,25.6,0.0,FALHA,SIM
300,14.7,20.6,0.0,FALHA,NÃO
